clinical_significance	count
NA	928894
benign	31632
likely_benign	749
benign&likely_benign	683
uncertain_significance	205
likely_benign&benign	154
benign/likely_benign&benign	91
benign&benign/likely_benign	85
uncertain_significance&benign	78
uncertain_significance&benign&likely_benign	63
not_provided	39
benign&uncertain_significance	34
benign/likely_benign&likely_benign	33
likely_benign&benign&benign/likely_benign	33
drug_response	31
benign/likely_benign&likely_benign&benign	30
not_provided&benign	30
benign&not_provided	26
benign/likely_benign&benign&likely_benign	26
likely_benign&benign/likely_benign&benign	26
benign&likely_benign&benign/likely_benign	25
likely_benign&benign/likely_benign	25
benign&benign/likely_benign&likely_benign	24
benign/likely_benign	24
association	22
uncertain_significance&likely_benign	20
risk_factor	18
benign&risk_factor	17
other	15
benign&drug_response	14
risk_factor&benign	14
benign&conflicting_classifications_of_pathogenicity	13
conflicting_classifications_of_pathogenicity&benign	12
benign&association	11
likely_benign&uncertain_significance	10
conflicting_classifications_of_pathogenicity	9
association&benign	7
benign&likely_pathogenic	7
benign&other	7
other&benign	6
benign&pathogenic	5
conflicting_classifications_of_pathogenicity&likely_benign	4
drug_response&benign	4
likely_benign&conflicting_classifications_of_pathogenicity	4
uncertain_risk_allele	4
uncertain_significance&conflicting_classifications_of_pathogenicity	4
benign&affects	3
conflicting_classifications_of_pathogenicity&likely_benign&benign	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_benign&uncertain_significance&benign	3
likely_pathogenic	3
likely_pathogenic&benign	3
likely_risk_allele&benign	3
not_provided&benign&likely_benign	3
pathogenic	3
pathogenic&benign	3
protective	3
uncertain_significance&not_provided&benign&likely_benign	3
benign&likely_benign&conflicting_classifications_of_pathogenicity	2
benign&likely_benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	2
conflicting_classifications_of_pathogenicity&benign&likely_benign	2
likely_benign&benign&conflicting_classifications_of_pathogenicity	2
likely_benign&drug_response	2
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	2
uncertain_significance&not_provided&benign	2
affects	1
affects&benign	1
association&affects&benign&other	1
association&benign&likely_benign	1
association&drug_response&risk_factor	1
association&likely_benign&benign	1
association&pathogenic&protective	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&likely_benign&drug_response	1
benign&benign/likely_benign&pathogenic&likely_pathogenic	1
benign&benign/likely_benign&uncertain_significance&likely_benign	1
benign&confers_sensitivity	1
benign&conflicting_classifications_of_pathogenicity&risk_factor	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&benign/likely_benign&uncertain_significance	1
benign&likely_benign&pathogenic	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
