clinical_significance	count
NA	646922
benign	31267
benign&likely_benign	702
likely_benign	702
uncertain_significance	230
likely_benign&benign	146
uncertain_significance&benign	83
benign&benign/likely_benign	82
benign/likely_benign&benign	82
uncertain_significance&benign&likely_benign	69
drug_response	39
benign/likely_benign&likely_benign&benign	38
not_provided	36
likely_benign&benign/likely_benign&benign	33
benign&uncertain_significance	30
benign&benign/likely_benign&likely_benign	29
benign/likely_benign&likely_benign	29
benign/likely_benign&benign&likely_benign	28
likely_benign&benign&benign/likely_benign	27
benign&likely_benign&benign/likely_benign	26
benign&not_provided	25
association	24
likely_benign&benign/likely_benign	23
risk_factor&benign	23
not_provided&benign	22
uncertain_significance&likely_benign	20
benign&risk_factor	19
benign/likely_benign	19
likely_benign&uncertain_significance	18
risk_factor	12
benign&pathogenic	10
benign&drug_response	9
conflicting_classifications_of_pathogenicity&benign	9
benign&association	8
benign&conflicting_classifications_of_pathogenicity	8
benign&other	8
other&benign	8
affects&benign	7
other	7
benign&likely_pathogenic	6
conflicting_classifications_of_pathogenicity&likely_benign	6
uncertain_significance&conflicting_classifications_of_pathogenicity	6
affects	5
association&benign	5
likely_pathogenic&benign	5
not_provided&benign&likely_benign	5
pathogenic&benign	5
protective	5
conflicting_classifications_of_pathogenicity	4
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	4
likely_benign&conflicting_classifications_of_pathogenicity	4
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	3
uncertain_significance&not_provided&benign&likely_benign	3
benign&likely_benign&uncertain_significance	2
benign/likely_benign&not_provided	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	2
drug_response&benign	2
likely_benign&benign&uncertain_significance	2
likely_benign&uncertain_significance&benign	2
likely_benign&uncertain_significance&benign/likely_benign&benign	2
likely_pathogenic&uncertain_significance	2
likely_risk_allele	2
pathogenic	2
pathogenic&uncertain_significance&benign	2
association&affects&benign	1
association&affects&benign&other	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
benign&affects	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&likely_benign&drug_response	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
benign&conflicting_classifications_of_pathogenicity&uncertain_significance&benign/likely_benign&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&not_provided&likely_benign&benign/likely_benign	1
benign&pathogenic&likely_benign	1
benign&protective	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&not_provided	1
benign&uncertain_risk_allele	1
benign&uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&uncertain_significance&likely_benign	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&uncertain_significance&likely_benign	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&likely_benign&benign	1
benign/likely_benign&likely_benign&benign&protective	1
benign/likely_benign&likely_benign&benign&uncertain_significance	1
benign/likely_benign&likely_benign&pathogenic&benign	1
benign/likely_benign&uncertain_significance&benign	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign&uncertain_significance&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance	1
drug_response&association&benign	1
drug_response&benign&uncertain_risk_allele	1
drug_response&likely_benign&other	1
likely_benign&benign&drug_response	1
likely_benign&benign&pathogenic	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance&benign/likely_benign	1
likely_benign&drug_response	1
likely_benign&pathogenic	1
likely_pathogenic	1
likely_pathogenic&pathogenic&pathogenic/likely_pathogenic	1
likely_risk_allele&benign&conflicting_classifications_of_pathogenicity	1
likely_risk_allele&pathogenic&benign	1
not_provided&association_not_found	1
not_provided&pathogenic	1
not_provided&uncertain_significance	1
other&confers_sensitivity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&likely_pathogenic	1
pathogenic&likely_pathogenic&benign	1
pathogenic&other&not_provided&protective	1
pathogenic&risk_factor	1
pathogenic&risk_factor&benign	1
pathogenic/likely_pathogenic&pathogenic	1
protective&benign&likely_benign&benign/likely_benign	1
protective&pathogenic&benign	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&likely_benign	1
risk_factor&likely_pathogenic&likely_benign	1
uncertain_significance&association	1
uncertain_significance&benign&association&likely_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&benign&benign/likely_benign	1
uncertain_significance&not_provided&benign	1
