clinvar_significance	count
NA	644181
benign	31236
likely_benign	753
benign&likely_benign	720
uncertain_significance	229
likely_benign&benign	138
benign/likely_benign&benign	95
uncertain_significance&benign	81
benign&benign/likely_benign	79
uncertain_significance&benign&likely_benign	74
benign/likely_benign&likely_benign&benign	40
benign/likely_benign&benign&likely_benign	33
likely_benign&benign&benign/likely_benign	33
drug_response	31
likely_benign&benign/likely_benign&benign	31
not_provided	31
benign&uncertain_significance	29
benign&likely_benign&benign/likely_benign	28
benign&not_provided	26
likely_benign&benign/likely_benign	26
not_provided&benign	25
benign/likely_benign&likely_benign	24
association	23
benign&benign/likely_benign&likely_benign	21
benign/likely_benign	20
risk_factor&benign	19
uncertain_significance&likely_benign	19
benign&risk_factor	17
risk_factor	17
likely_benign&uncertain_significance	14
benign&drug_response	12
conflicting_classifications_of_pathogenicity&benign	11
other	11
benign&conflicting_classifications_of_pathogenicity	10
benign&likely_pathogenic	9
benign&other	9
benign&pathogenic	9
benign&association	7
conflicting_classifications_of_pathogenicity	6
not_provided&benign&likely_benign	6
association&benign	5
conflicting_classifications_of_pathogenicity&likely_benign	5
drug_response&benign	5
other&benign	5
protective	5
likely_benign&conflicting_classifications_of_pathogenicity	4
likely_benign&uncertain_significance&benign	4
likely_pathogenic&benign	4
pathogenic	4
pathogenic&benign	4
uncertain_significance&conflicting_classifications_of_pathogenicity	4
benign&likely_benign&conflicting_classifications_of_pathogenicity	3
benign&likely_benign&uncertain_significance	3
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_risk_allele&benign	3
uncertain_significance&benign/likely_benign&likely_benign&benign	3
uncertain_significance&not_provided&benign&likely_benign	3
affects	2
affects&benign	2
benign&protective	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&likely_benign&benign	2
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	2
likely_benign&benign&conflicting_classifications_of_pathogenicity	2
likely_benign&drug_response	2
