clinvar_significance	count
NA	811881
benign	34302
likely_benign	836
benign&likely_benign	799
uncertain_significance	244
likely_benign&benign	154
benign/likely_benign&benign	105
benign&benign/likely_benign	97
uncertain_significance&benign	82
uncertain_significance&benign&likely_benign	77
likely_benign&benign&benign/likely_benign	43
not_provided	42
likely_benign&benign/likely_benign	39
benign&likely_benign&benign/likely_benign	33
benign&uncertain_significance	33
benign/likely_benign&benign&likely_benign	33
benign/likely_benign&likely_benign	33
benign/likely_benign&likely_benign&benign	33
benign/likely_benign	31
benign&benign/likely_benign&likely_benign	29
likely_benign&benign/likely_benign&benign	29
drug_response	27
not_provided&benign	25
risk_factor&benign	23
benign&not_provided	21
association	19
uncertain_significance&likely_benign	19
risk_factor	18
benign&risk_factor	16
conflicting_classifications_of_pathogenicity&benign	12
benign&conflicting_classifications_of_pathogenicity	11
benign&drug_response	10
other	10
benign&other	9
conflicting_classifications_of_pathogenicity	9
benign&association	8
benign&likely_pathogenic	8
conflicting_classifications_of_pathogenicity&uncertain_significance	7
likely_benign&uncertain_significance	7
benign&pathogenic	6
other&benign	6
protective	6
affects&benign	5
association&benign	5
drug_response&benign	5
likely_benign&conflicting_classifications_of_pathogenicity	5
likely_benign&benign&benign/likely_benign&uncertain_significance	4
likely_benign&uncertain_significance&benign	4
likely_pathogenic&benign	4
likely_risk_allele	4
pathogenic	4
benign/likely_benign&likely_benign&uncertain_significance	3
likely_benign&benign&uncertain_significance	3
not_provided&benign&likely_benign	3
pathogenic&benign	3
uncertain_significance&conflicting_classifications_of_pathogenicity	3
uncertain_significance&not_provided&benign&likely_benign	3
affects	2
benign&likely_benign&conflicting_classifications_of_pathogenicity	2
benign&likely_benign&uncertain_significance	2
benign&uncertain_risk_allele	2
benign/likely_benign&uncertain_significance	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&benign/likely_benign&benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	2
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	2
likely_benign&uncertain_significance&benign/likely_benign&benign	2
pathogenic/likely_pathogenic&likely_pathogenic	2
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	2
association&affects&benign	1
association&affects&benign&other	1
association&drug_response&risk_factor	1
association&likely_benign&benign	1
association&pathogenic&protective	1
benign&affects	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&not_provided&likely_benign	1
benign&pathogenic&likely_benign	1
benign&pathogenic&risk_factor	1
benign&protective	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_significance&benign/likely_benign	1
benign&uncertain_significance&likely_benign	1
benign&uncertain_significance&pathogenic&risk_factor&likely_benign&benign/likely_benign	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&likely_benign&uncertain_significance&benign	1
benign/likely_benign&pathogenic&benign	1
benign/likely_benign&uncertain_significance&pathogenic&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&benign&not_provided&risk_factor	1
conflicting_classifications_of_pathogenicity&benign/likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_pathogenic	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
drug_response&benign&uncertain_risk_allele	1
drug_response&benign/likely_benign	1
drug_response&likely_benign&benign	1
drug_response&uncertain_significance	1
