clinvar_significance	count
NA	640412
benign	31334
benign&likely_benign	713
likely_benign	690
uncertain_significance	231
likely_benign&benign	132
benign&benign/likely_benign	92
benign/likely_benign&benign	91
uncertain_significance&benign	82
uncertain_significance&benign&likely_benign	65
benign/likely_benign&likely_benign&benign	38
not_provided	37
likely_benign&benign&benign/likely_benign	36
drug_response	35
benign&likely_benign&benign/likely_benign	34
benign&uncertain_significance	32
benign/likely_benign&likely_benign	30
likely_benign&benign/likely_benign	30
benign/likely_benign&benign&likely_benign	29
association	27
benign&benign/likely_benign&likely_benign	24
not_provided&benign	23
benign/likely_benign	22
likely_benign&benign/likely_benign&benign	22
benign&not_provided	20
risk_factor&benign	19
risk_factor	18
uncertain_significance&likely_benign	18
benign&risk_factor	13
benign&drug_response	10
benign&likely_pathogenic	10
affects&benign	9
benign&conflicting_classifications_of_pathogenicity	9
conflicting_classifications_of_pathogenicity&benign	9
benign&association	8
likely_benign&uncertain_significance	8
benign&other	7
benign&pathogenic	7
association&benign	6
benign&protective	5
drug_response&benign	5
other&benign	5
protective	5
uncertain_significance&conflicting_classifications_of_pathogenicity	5
benign&likely_benign&uncertain_significance	4
conflicting_classifications_of_pathogenicity	4
likely_pathogenic&benign	4
pathogenic&benign	4
benign&likely_benign&pathogenic	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_benign&uncertain_significance&benign	3
uncertain_significance&not_provided&benign&likely_benign	3
affects	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
likely_benign&benign&benign/likely_benign&uncertain_significance	2
not_provided&benign&likely_benign	2
other	2
pathogenic	2
pathogenic&protective&risk_factor	2
uncertain_risk_allele	2
uncertain_significance&benign/likely_benign	2
association&affects&benign	1
association&affects&benign&other	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
benign&affects	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&likely_benign&drug_response	1
benign&benign/likely_benign&uncertain_significance	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&affects	1
benign&likely_benign&conflicting_classifications_of_pathogenicity&benign/likely_benign	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&not_provided&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&uncertain_risk_allele	1
benign&uncertain_significance&benign/likely_benign	1
benign&uncertain_significance&benign/likely_benign&not_provided	1
benign&uncertain_significance&likely_benign	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign/likely_benign&benign&likely_benign&pathogenic	1
benign/likely_benign&benign&likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&likely_benign&benign	1
benign/likely_benign&likely_benign&benign&not_provided	1
benign/likely_benign&likely_benign&conflicting_classifications_of_pathogenicity&benign	1
benign/likely_benign&likely_benign&pathogenic&benign	1
benign/likely_benign&likely_benign&uncertain_significance	1
benign/likely_benign&likely_benign&uncertain_significance&benign	1
benign/likely_benign&not_provided	1
benign/likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
conflicting_classifications_of_pathogenicity&risk_factor&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	1
drug_response&benign&likely_benign	1
drug_response&likely_benign&benign	1
likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance&benign/likely_benign	1
likely_benign&drug_response	1
likely_benign&likely_pathogenic&benign&uncertain_significance	1
likely_benign&not_provided&benign	1
likely_benign&uncertain_significance&benign/likely_benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
likely_pathogenic&pathogenic/likely_pathogenic&pathogenic	1
likely_risk_allele	1
likely_risk_allele&association&benign&uncertain_significance	1
likely_risk_allele&benign	1
not_provided&association_not_found	1
not_provided&likely_benign&benign	1
not_provided&pathogenic	1
other&confers_sensitivity	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&drug_response&benign&likely_benign	1
pathogenic&likely_pathogenic	1
