clinical_significance	count
NA	702582
benign	31062
likely_benign	698
benign&likely_benign	691
uncertain_significance	217
likely_benign&benign	136
benign/likely_benign&benign	84
benign&benign/likely_benign	81
uncertain_significance&benign	79
uncertain_significance&benign&likely_benign	68
drug_response	39
not_provided	35
benign/likely_benign&likely_benign&benign	34
likely_benign&benign&benign/likely_benign	33
benign/likely_benign&likely_benign	31
benign&uncertain_significance	30
benign&benign/likely_benign&likely_benign	27
benign&likely_benign&benign/likely_benign	27
benign/likely_benign&benign&likely_benign	27
benign&not_provided	24
likely_benign&benign/likely_benign	24
likely_benign&benign/likely_benign&benign	24
uncertain_significance&likely_benign	23
association	22
not_provided&benign	22
benign/likely_benign	20
risk_factor&benign	20
benign&risk_factor	16
conflicting_classifications_of_pathogenicity&benign	14
benign&conflicting_classifications_of_pathogenicity	13
benign&drug_response	13
risk_factor	13
benign&likely_pathogenic	10
likely_benign&uncertain_significance	10
benign&pathogenic	9
other	8
association&benign	7
benign&association	7
benign&other	7
other&benign	6
pathogenic	6
benign&protective	4
conflicting_classifications_of_pathogenicity	4
conflicting_classifications_of_pathogenicity&likely_benign	4
likely_pathogenic&benign	4
pathogenic&benign	4
protective	4
benign&likely_benign&conflicting_classifications_of_pathogenicity	3
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
drug_response&benign	3
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_benign&uncertain_significance&benign	3
not_provided&benign&likely_benign	3
uncertain_significance&conflicting_classifications_of_pathogenicity	3
affects	2
benign/likely_benign&pathogenic	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	2
conflicting_classifications_of_pathogenicity&benign&likely_benign	2
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	2
likely_risk_allele	2
risk_factor&benign&likely_benign	2
uncertain_significance&benign&benign/likely_benign	2
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	2
uncertain_significance&likely_benign&benign/likely_benign	2
uncertain_significance&likely_pathogenic	2
uncertain_significance&not_provided&benign&likely_benign	2
association&affects&benign&other	1
association&benign&pathogenic	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
benign&affects	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&risk_factor	1
benign&drug_response&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&affects	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&likely_risk_allele	1
benign&not_provided&benign/likely_benign	1
benign&pathogenic&risk_factor	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_significance&benign/likely_benign	1
benign&uncertain_significance&likely_benign	1
benign&uncertain_significance&pathogenic&risk_factor&likely_benign&benign/likely_benign	1
benign&uncertain_significance&risk_factor	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&benign&uncertain_significance	1
benign/likely_benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&likely_benign&benign	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance&benign	1
benign/likely_benign&likely_benign&benign&not_provided	1
benign/likely_benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&uncertain_significance&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&uncertain_risk_allele	1
drug_response&likely_benign	1
drug_response&likely_benign&benign	1
drug_response&other	1
drug_response&risk_factor	1
likely_benign&benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign&pathogenic	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&conflicting_classifications_of_pathogenicity&benign&uncertain_significance	1
likely_benign&drug_response	1
likely_benign&pathogenic&benign	1
likely_benign&risk_factor&benign	1
likely_benign&uncertain_significance&benign/likely_benign&benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
likely_pathogenic&likely_benign	1
likely_pathogenic&pathogenic	1
likely_risk_allele&benign	1
not_provided&association_not_found	1
not_provided&likely_benign	1
not_provided&pathogenic	1
not_provided&risk_factor	1
other&confers_sensitivity	1
other&conflicting_classifications_of_pathogenicity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&conflicting_classifications_of_pathogenicity	1
pathogenic&drug_response&benign&likely_benign	1
pathogenic&likely_pathogenic	1
pathogenic&other	1
pathogenic&risk_factor	1
pathogenic&risk_factor&benign	1
pathogenic&uncertain_significance&benign	1
protective&risk_factor	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&uncertain_significance	1
risk_factor&uncertain_risk_allele	1
uncertain_risk_allele	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&risk_factor&benign	1
