clinical_significance	count
NA	721140
benign	33452
likely_benign	808
benign&likely_benign	740
uncertain_significance	184
likely_benign&benign	136
benign/likely_benign&benign	109
benign&benign/likely_benign	95
uncertain_significance&benign	84
uncertain_significance&benign&likely_benign	70
not_provided	41
benign/likely_benign&benign&likely_benign	39
benign&benign/likely_benign&likely_benign	38
likely_benign&benign&benign/likely_benign	38
likely_benign&benign/likely_benign	35
benign/likely_benign&likely_benign&benign	34
benign/likely_benign&likely_benign	33
likely_benign&benign/likely_benign&benign	32
benign&likely_benign&benign/likely_benign	30
not_provided&benign	29
benign&uncertain_significance	27
drug_response	27
association	26
benign&not_provided	21
benign/likely_benign	21
uncertain_significance&likely_benign	20
risk_factor&benign	18
benign&risk_factor	15
likely_benign&uncertain_significance	15
risk_factor	14
benign&drug_response	12
conflicting_classifications_of_pathogenicity&benign	12
benign&likely_pathogenic	11
benign&conflicting_classifications_of_pathogenicity	10
association&benign	9
benign&pathogenic	8
likely_benign&uncertain_significance&benign	6
affects	5
benign&association	5
conflicting_classifications_of_pathogenicity	5
drug_response&benign	4
likely_pathogenic&benign	4
protective	4
benign&affects	3
benign&likely_benign&uncertain_significance	3
conflicting_classifications_of_pathogenicity&likely_benign&benign	3
likely_pathogenic	3
other	3
other&benign	3
pathogenic&benign	3
benign&benign/likely_benign&uncertain_significance&likely_benign	2
benign&likely_benign&risk_factor	2
benign&other	2
benign&uncertain_significance&likely_benign	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	2
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&likely_benign	2
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	2
likely_benign&conflicting_classifications_of_pathogenicity	2
likely_benign&drug_response	2
likely_pathogenic&uncertain_significance	2
likely_risk_allele	2
likely_risk_allele&benign	2
not_provided&benign&likely_benign	2
pathogenic	2
pathogenic/likely_pathogenic&pathogenic	2
protective&benign	2
protective&risk_factor	2
risk_factor&benign&likely_benign	2
uncertain_significance&conflicting_classifications_of_pathogenicity	2
uncertain_significance&not_provided&benign&likely_benign	2
affects&benign	1
association&affects	1
association&drug_response&risk_factor	1
association&likely_benign&benign	1
association&likely_benign&likely_pathogenic&other&uncertain_significance&conflicting_classifications_of_pathogenicity&pathogenic&risk_factor	1
association&pathogenic&protective	1
association_not_found	1
benign&benign/likely_benign&likely_benign&association	1
benign&benign/likely_benign&uncertain_significance	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&benign/likely_benign&likely_benign	1
benign&conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign	1
benign&conflicting_classifications_of_pathogenicity&risk_factor	1
benign&drug_response&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&likely_risk_allele	1
benign&not_provided&drug_response	1
benign&not_provided&likely_benign	1
benign&pathogenic&likely_benign	1
benign&pathogenic&likely_benign&benign/likely_benign	1
benign&protective	1
benign&protective&risk_factor	1
benign&uncertain_risk_allele	1
benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&likely_benign&benign&not_provided	1
benign/likely_benign&likely_benign&uncertain_significance	1
benign/likely_benign&likely_benign&uncertain_significance&benign	1
benign/likely_benign&not_provided&benign&likely_benign	1
benign/likely_benign&uncertain_significance	1
benign/likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign/likely_benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&benign/likely_benign&uncertain_significance&likely_benign&benign&pathogenic	1
conflicting_classifications_of_pathogenicity&likely_benign&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
conflicting_classifications_of_pathogenicity&pathogenic	1
conflicting_classifications_of_pathogenicity&pathogenic&pathogenic/pathogenic&_low_penetrance	1
conflicting_classifications_of_pathogenicity&risk_factor	1
conflicting_classifications_of_pathogenicity&risk_factor&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance	1
drug_response&association&benign	1
drug_response&benign&pathogenic&likely_benign	1
drug_response&benign&uncertain_risk_allele	1
drug_response&likely_benign	1
drug_response&likely_benign&other	1
drug_response&uncertain_significance	1
likely_benign&benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign&pathogenic	1
likely_benign&benign/likely_benign&pathogenic&benign	1
likely_benign&benign/likely_benign&uncertain_significance&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	1
likely_benign&pathogenic&benign	1
likely_benign&uncertain_significance&benign&benign/likely_benign	1
likely_benign&uncertain_significance&benign/likely_benign	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
likely_pathogenic&pathogenic&pathogenic/likely_pathogenic	1
likely_risk_allele&association&benign&uncertain_significance	1
likely_risk_allele&benign&conflicting_classifications_of_pathogenicity	1
not_provided&association_not_found	1
not_provided&benign&likely_benign&benign/likely_benign	1
not_provided&benign/likely_benign&benign	1
not_provided&likely_benign	1
not_provided&risk_factor	1
not_provided&uncertain_significance	1
other&confers_sensitivity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&likely_benign&benign	1
pathogenic&likely_benign&benign&benign/likely_benign	1
pathogenic&likely_benign&benign/likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&risk_factor&benign	1
protective&pathogenic&uncertain_significance&other&likely_benign&drug_response	1
risk_factor&affects&benign	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&uncertain_significance	1
risk_factor&benign/likely_benign&likely_benign&benign	1
uncertain_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&benign/likely_benign&likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&pathogenic&benign&other	1
