sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key	functional_impact	variant_count
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000002549	LAP3	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000004799	PDK4	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000004864	SLC25A13	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	loss_of_function	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	8
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	10
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000005059	MCUB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000005059	MCUB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000006282	SPATA20	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000007923	DNAJC11	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000008405	CRY1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000014824	SLC30A9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	2
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000014824	SLC30A9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	synonymous	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000016391	CHDH	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missense	1
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	ENSG00000016391	CHDH	mitocarta	1	mitocarta	True	False	ensembl_gene_id	splice_relevant	1
