clinical_significance	count
NA	776041
benign	32335
likely_benign	823
benign&likely_benign	736
uncertain_significance	229
likely_benign&benign	164
benign/likely_benign&benign	117
benign&benign/likely_benign	98
uncertain_significance&benign	75
uncertain_significance&benign&likely_benign	68
benign/likely_benign	38
likely_benign&benign/likely_benign	38
benign/likely_benign&benign&likely_benign	37
benign/likely_benign&likely_benign	37
likely_benign&benign&benign/likely_benign	37
benign&likely_benign&benign/likely_benign	36
drug_response	35
not_provided	35
benign&uncertain_significance	34
benign/likely_benign&likely_benign&benign	31
benign&benign/likely_benign&likely_benign	30
likely_benign&benign/likely_benign&benign	28
association	27
uncertain_significance&likely_benign	27
risk_factor&benign	24
benign&not_provided	21
benign&risk_factor	19
not_provided&benign	19
likely_benign&uncertain_significance	15
risk_factor	14
benign&conflicting_classifications_of_pathogenicity	13
conflicting_classifications_of_pathogenicity&benign	13
benign&likely_pathogenic	10
conflicting_classifications_of_pathogenicity	9
other	8
other&benign	8
uncertain_significance&conflicting_classifications_of_pathogenicity	8
benign&drug_response	7
benign&likely_benign&conflicting_classifications_of_pathogenicity	7
benign&other	7
benign&pathogenic	7
conflicting_classifications_of_pathogenicity&likely_benign	7
drug_response&benign	7
association&benign	6
benign&association	6
likely_benign&uncertain_significance&benign	5
not_provided&benign&likely_benign	5
pathogenic&benign	5
protective	5
benign&conflicting_classifications_of_pathogenicity&likely_benign	4
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	4
likely_pathogenic	4
likely_pathogenic&benign	4
benign&protective	3
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	3
conflicting_classifications_of_pathogenicity&likely_benign&benign	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
pathogenic	3
uncertain_significance&benign/likely_benign&benign&likely_benign	3
uncertain_significance&not_provided&benign&likely_benign	3
affects	2
benign&likely_benign&uncertain_significance	2
benign&uncertain_significance&benign/likely_benign&likely_benign	2
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign&benign	2
likely_benign&benign&conflicting_classifications_of_pathogenicity	2
likely_benign&conflicting_classifications_of_pathogenicity	2
likely_benign&conflicting_classifications_of_pathogenicity&benign	2
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	2
likely_benign&drug_response	2
likely_benign&not_provided&benign	2
likely_risk_allele	2
uncertain_significance&benign&conflicting_classifications_of_pathogenicity	2
uncertain_significance&benign/likely_benign	2
association&affects&benign&other	1
association&likely_benign&benign	1
association&pathogenic&protective	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&uncertain_significance&likely_benign	1
benign&confers_sensitivity	1
benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&affects	1
benign&likely_benign&risk_factor	1
benign&likely_pathogenic&likely_risk_allele	1
benign&not_provided&likely_benign	1
benign&other&benign/likely_benign	1
benign&pathogenic&benign/likely_benign	1
benign&pathogenic&risk_factor	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_risk_allele	1
benign&uncertain_significance&benign/likely_benign	1
benign&uncertain_significance&likely_benign	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&benign&pathogenic	1
benign/likely_benign&benign&uncertain_significance	1
benign/likely_benign&likely_benign&benign&protective	1
benign/likely_benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&uncertain_significance&benign	1
confers_sensitivity&benign	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&not_provided&risk_factor	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
conflicting_classifications_of_pathogenicity&risk_factor&benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance&benign&likely_benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&pathogenic	1
drug_response&likely_benign	1
drug_response&likely_benign&benign	1
drug_response&likely_benign&other	1
likely_benign&benign&uncertain_significance	1
likely_benign&pathogenic&benign/likely_benign&uncertain_significance&benign&drug_response	1
likely_benign&uncertain_significance&benign/likely_benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity&benign	1
likely_benign&uncertain_significance&likely_pathogenic	1
likely_pathogenic&uncertain_significance&benign&conflicting_classifications_of_pathogenicity&pathogenic	1
likely_risk_allele&benign	1
not_provided&association_not_found	1
not_provided&benign/likely_benign&benign	1
not_provided&uncertain_significance&benign/likely_benign	1
other&conflicting_classifications_of_pathogenicity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&pathogenic/established_risk_allele&not_provided&uncertain_significance&likely_pathogenic&drug_response&association&risk_factor&conflicting_classifications_of_pathogenicity	1
pathogenic/likely_pathogenic&pathogenic	1
protective&benign&likely_benign&benign/likely_benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&likely_benign	1
risk_factor&uncertain_risk_allele	1
uncertain_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&benign&benign/likely_benign&likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&likely_benign&benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity&benign	1
uncertain_significance&likely_pathogenic&pathogenic	1
uncertain_significance&protective&likely_risk_allele&benign	1
uncertain_significance&risk_factor&likely_benign	1
